Campaign,Ad group,Keyword,Match type,Status,Final URL,Max CPC
Search - Brand & Bands,MusicAngel brand,musicangel,Exact,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,musicangel,Phrase,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,music angel ireland,Exact,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,music angel ireland,Phrase,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,music angel wedding,Exact,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,music angel wedding,Phrase,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,musicangel wedding bands,Exact,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,MusicAngel brand,musicangel wedding bands,Phrase,Paused,https://musicangel.ie/,0.80
Search - Brand & Bands,Band names,the beat boutique wedding band,Exact,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,the beat boutique wedding band,Phrase,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,beat boutique band,Exact,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,beat boutique band,Phrase,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,sway social wedding band,Exact,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,sway social wedding band,Phrase,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,the best men wedding band,Exact,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,the best men wedding band,Phrase,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,blacktye wedding band,Exact,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,blacktye wedding band,Phrase,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,blacktye band,Exact,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Brand & Bands,Band names,blacktye band,Phrase,Paused,https://musicangel.ie/compare-bands/,0.90
Search - Wedding Bands Ireland,Wedding bands Ireland,wedding band ireland,Exact,Paused,https://musicangel.ie/,2.20
Search - Wedding Bands Ireland,Wedding bands Ireland,wedding bands ireland,Exact,Paused,https://musicangel.ie/,2.20
Search - Wedding Bands Ireland,Wedding bands Ireland,live wedding band ireland,Exact,Paused,https://musicangel.ie/,2.20
Search - Wedding Bands Ireland,Wedding bands Ireland,irish wedding bands,Exact,Paused,https://musicangel.ie/,2.20
Search - Wedding Bands Ireland,Wedding bands Ireland,best wedding bands ireland,Exact,Paused,https://musicangel.ie/,2.20
Search - Wedding Bands Ireland,Wedding band prices,wedding band cost ireland,Exact,Paused,https://musicangel.ie/wedding-band-cost-ireland/,2.40
Search - Wedding Bands Ireland,Wedding band prices,wedding band prices ireland,Exact,Paused,https://musicangel.ie/wedding-band-cost-ireland/,2.40
Search - Wedding Bands Ireland,Wedding band prices,average wedding band cost ireland,Exact,Paused,https://musicangel.ie/wedding-band-cost-ireland/,2.40
Search - Wedding Bands Ireland,Wedding band prices,cost of wedding band ireland,Exact,Paused,https://musicangel.ie/wedding-band-cost-ireland/,2.40
Search - Wedding Bands Ireland,Wedding band prices,wedding bands ireland prices,Exact,Paused,https://musicangel.ie/wedding-band-cost-ireland/,2.40
Search - Wedding Bands Ireland,Wedding band prices,how much is a wedding band in ireland,Exact,Paused,https://musicangel.ie/wedding-band-cost-ireland/,2.40
Search - Wedding Bands Ireland,Band and DJ package,wedding band and dj package,Exact,Paused,https://musicangel.ie/wedding-band-and-dj-package/,1.80
Search - Wedding Bands Ireland,Band and DJ package,wedding band dj package ireland,Exact,Paused,https://musicangel.ie/wedding-band-and-dj-package/,1.80
Search - Wedding Bands Ireland,Band and DJ package,band and dj wedding package,Exact,Paused,https://musicangel.ie/wedding-band-and-dj-package/,1.80
