Campaign,Keyword,Match type,Status
Search - Brand & Bands,free,Campaign negative,Enabled
Search - Brand & Bands,cheap,Campaign negative,Enabled
Search - Brand & Bands,diy,Campaign negative,Enabled
Search - Brand & Bands,youtube,Campaign negative,Enabled
Search - Brand & Bands,lyrics,Campaign negative,Enabled
Search - Brand & Bands,tabs,Campaign negative,Enabled
Search - Brand & Bands,chords,Campaign negative,Enabled
Search - Brand & Bands,karaoke,Campaign negative,Enabled
Search - Brand & Bands,tribute,Campaign negative,Enabled
Search - Brand & Bands,school,Campaign negative,Enabled
Search - Brand & Bands,student,Campaign negative,Enabled
Search - Brand & Bands,amateur,Campaign negative,Enabled
Search - Brand & Bands,audition,Campaign negative,Enabled
Search - Brand & Bands,join the band,Campaign negative,Enabled
Search - Brand & Bands,guitar lesson,Campaign negative,Enabled
Search - Brand & Bands,sheet music,Campaign negative,Enabled
Search - Brand & Bands,download,Campaign negative,Enabled
Search - Brand & Bands,spotify,Campaign negative,Enabled
Search - Brand & Bands,jobs,Campaign negative,Enabled
Search - Brand & Bands,vacancy,Campaign negative,Enabled
Search - Brand & Bands,busker,Campaign negative,Enabled
Search - Brand & Bands,playlist,Campaign negative,Enabled
Search - Brand & Bands,mp3,Campaign negative,Enabled
Search - Brand & Bands,instrumental only,Campaign negative,Enabled
Search - Brand & Bands,ring,Campaign negative,Enabled
Search - Brand & Bands,wedding ring,Campaign negative,Enabled
Search - Brand & Bands,jewellery,Campaign negative,Enabled
Search - Brand & Bands,jewelry,Campaign negative,Enabled
Search - Brand & Bands,waxies,Campaign negative,Enabled
Search - Brand & Bands,the waxies,Campaign negative,Enabled
Search - Brand & Bands,harlequin,Campaign negative,Enabled
Search - Brand & Bands,buachaills,Campaign negative,Enabled
Search - Brand & Bands,the buachaills,Campaign negative,Enabled
Search - Brand & Bands,perfect day wedding band,Campaign negative,Enabled
Search - Brand & Bands,perfect day band,Campaign negative,Enabled
Search - Brand & Bands,ian hendricks,Campaign negative,Enabled
Search - Brand & Bands,panic animal,Campaign negative,Enabled
Search - Brand & Bands,old moderns,Campaign negative,Enabled
Search - Brand & Bands,pat fitz,Campaign negative,Enabled
Search - Brand & Bands,twist of fate,Campaign negative,Enabled
Search - Brand & Bands,the stars band,Campaign negative,Enabled
Search - Brand & Bands,rockhill ramblers,Campaign negative,Enabled
Search - Brand & Bands,entourage wedding band,Campaign negative,Enabled
Search - Brand & Bands,entourage band,Campaign negative,Enabled
Search - Brand & Bands,rejig wedding band,Campaign negative,Enabled
Search - Brand & Bands,rejig band,Campaign negative,Enabled
Search - Brand & Bands,catch 22 band,Campaign negative,Enabled
Search - Brand & Bands,catch 22 wedding band,Campaign negative,Enabled
Search - Brand & Bands,switch band,Campaign negative,Enabled
Search - Brand & Bands,nightfall band,Campaign negative,Enabled
Search - Brand & Bands,blue moose wedding band,Campaign negative,Enabled
Search - Brand & Bands,blue moose band,Campaign negative,Enabled
Search - Brand & Bands,hell for leather band,Campaign negative,Enabled
Search - Brand & Bands,slipstream band,Campaign negative,Enabled
Search - Brand & Bands,green means go wedding band,Campaign negative,Enabled
Search - Brand & Bands,green means go band,Campaign negative,Enabled
Search - Brand & Bands,the essentials band,Campaign negative,Enabled
Search - Brand & Bands,the strobes band,Campaign negative,Enabled
Search - Brand & Bands,late night radio band,Campaign negative,Enabled
Search - Brand & Bands,late night radio wedding band,Campaign negative,Enabled
Search - Brand & Bands,the cazettes band,Campaign negative,Enabled
Search - Brand & Bands,red alert wedding band,Campaign negative,Enabled
Search - Brand & Bands,red alert band,Campaign negative,Enabled
Search - Brand & Bands,after dark band,Campaign negative,Enabled
Search - Brand & Bands,superfly band,Campaign negative,Enabled
Search - Brand & Bands,up to 90 band,Campaign negative,Enabled
Search - Brand & Bands,bog the donkey,Campaign negative,Enabled
Search - Brand & Bands,pyramid band,Campaign negative,Enabled
Search - Brand & Bands,southbound wedding band,Campaign negative,Enabled
Search - Brand & Bands,southbound band,Campaign negative,Enabled
Search - Brand & Bands,divine invention band,Campaign negative,Enabled
Search - Brand & Bands,j90 band,Campaign negative,Enabled
Search - Brand & Bands,last call band,Campaign negative,Enabled
Search - Brand & Bands,mass band,Campaign negative,Enabled
Search - Brand & Bands,men in black wedding band,Campaign negative,Enabled
Search - Brand & Bands,michael o neill wedding dj,Campaign negative,Enabled
Search - Brand & Bands,mixtape band,Campaign negative,Enabled
Search - Brand & Bands,spring break wedding band,Campaign negative,Enabled
Search - Brand & Bands,suzie q waterford,Campaign negative,Enabled
Search - Brand & Bands,the cufflinks wedding band,Campaign negative,Enabled
Search - Brand & Bands,the event band,Campaign negative,Enabled
Search - Brand & Bands,the gallivanters wedding band,Campaign negative,Enabled
Search - Brand & Bands,the wilful band,Campaign negative,Enabled
Search - Wedding Bands Ireland,free,Campaign negative,Enabled
Search - Wedding Bands Ireland,cheap,Campaign negative,Enabled
Search - Wedding Bands Ireland,diy,Campaign negative,Enabled
Search - Wedding Bands Ireland,youtube,Campaign negative,Enabled
Search - Wedding Bands Ireland,lyrics,Campaign negative,Enabled
Search - Wedding Bands Ireland,tabs,Campaign negative,Enabled
Search - Wedding Bands Ireland,chords,Campaign negative,Enabled
Search - Wedding Bands Ireland,karaoke,Campaign negative,Enabled
Search - Wedding Bands Ireland,tribute,Campaign negative,Enabled
Search - Wedding Bands Ireland,school,Campaign negative,Enabled
Search - Wedding Bands Ireland,student,Campaign negative,Enabled
Search - Wedding Bands Ireland,amateur,Campaign negative,Enabled
Search - Wedding Bands Ireland,audition,Campaign negative,Enabled
Search - Wedding Bands Ireland,join the band,Campaign negative,Enabled
Search - Wedding Bands Ireland,guitar lesson,Campaign negative,Enabled
Search - Wedding Bands Ireland,sheet music,Campaign negative,Enabled
Search - Wedding Bands Ireland,download,Campaign negative,Enabled
Search - Wedding Bands Ireland,spotify,Campaign negative,Enabled
Search - Wedding Bands Ireland,jobs,Campaign negative,Enabled
Search - Wedding Bands Ireland,vacancy,Campaign negative,Enabled
Search - Wedding Bands Ireland,busker,Campaign negative,Enabled
Search - Wedding Bands Ireland,playlist,Campaign negative,Enabled
Search - Wedding Bands Ireland,mp3,Campaign negative,Enabled
Search - Wedding Bands Ireland,instrumental only,Campaign negative,Enabled
