Action,Negative keyword list name,Negative keyword,Keyword or list,Match type
Add,MusicAngel Core Exclusions,free,Keyword,Broad Match
Add,MusicAngel Core Exclusions,cheap,Keyword,Broad Match
Add,MusicAngel Core Exclusions,diy,Keyword,Broad Match
Add,MusicAngel Core Exclusions,youtube,Keyword,Broad Match
Add,MusicAngel Core Exclusions,lyrics,Keyword,Broad Match
Add,MusicAngel Core Exclusions,tabs,Keyword,Broad Match
Add,MusicAngel Core Exclusions,chords,Keyword,Broad Match
Add,MusicAngel Core Exclusions,karaoke,Keyword,Broad Match
Add,MusicAngel Core Exclusions,tribute,Keyword,Broad Match
Add,MusicAngel Core Exclusions,school,Keyword,Broad Match
Add,MusicAngel Core Exclusions,student,Keyword,Broad Match
Add,MusicAngel Core Exclusions,amateur,Keyword,Broad Match
Add,MusicAngel Core Exclusions,audition,Keyword,Broad Match
Add,MusicAngel Core Exclusions,join the band,Keyword,Broad Match
Add,MusicAngel Core Exclusions,guitar lesson,Keyword,Broad Match
Add,MusicAngel Core Exclusions,sheet music,Keyword,Broad Match
Add,MusicAngel Core Exclusions,download,Keyword,Broad Match
Add,MusicAngel Core Exclusions,spotify,Keyword,Broad Match
Add,MusicAngel Core Exclusions,jobs,Keyword,Broad Match
Add,MusicAngel Core Exclusions,vacancy,Keyword,Broad Match
Add,MusicAngel Core Exclusions,busker,Keyword,Broad Match
Add,MusicAngel Core Exclusions,playlist,Keyword,Broad Match
Add,MusicAngel Core Exclusions,mp3,Keyword,Broad Match
Add,MusicAngel Core Exclusions,instrumental only,Keyword,Broad Match
Add,MusicAngel Core Exclusions,ring,Keyword,Broad Match
Add,MusicAngel Core Exclusions,wedding ring,Keyword,Broad Match
Add,MusicAngel Core Exclusions,jewellery,Keyword,Broad Match
Add,MusicAngel Core Exclusions,jewelry,Keyword,Broad Match
Add,MusicAngel Core Exclusions,waxies,Keyword,Phrase Match
Add,MusicAngel Core Exclusions,the waxies,Keyword,Phrase Match
Add,MusicAngel Core Exclusions,harlequin,Keyword,Phrase Match
Add,MusicAngel Core Exclusions,buachaills,Keyword,Phrase Match
Add,MusicAngel Core Exclusions,the buachaills,Keyword,Phrase Match
Add,MusicAngel Core Exclusions,perfect day wedding band,Keyword,Phrase Match
Add,MusicAngel Core Exclusions,perfect day band,Keyword,Phrase Match
